,title,file_name,pid,name,parent_pid,file_path
0,Process,04ad737a6336.xml,2880,cscript.exe,1116,c:\windows\system32\cscript.exe
1,Process,04ad737a6336.xml,1960,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
2,Process,04ad737a6336.xml,2060,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
3,Process,04ad737a6336.xml,2052,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
4,Process,04ad737a6336.xml,1416,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
5,Process,04ad737a6336.xml,1972,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
6,Process,04ad737a6336.xml,1868,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
7,Process,04ad737a6336.xml,200,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
8,Process,04ad737a6336.xml,1204,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
9,Process,04ad737a6336.xml,2436,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
10,Process,04ad737a6336.xml,2336,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
11,Process,04ad737a6336.xml,2548,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
12,Process,04ad737a6336.xml,2556,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
13,Process,04ad737a6336.xml,2620,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
14,Process,04ad737a6336.xml,2192,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
15,Process,04ad737a6336.xml,2428,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
16,Process,04ad737a6336.xml,1560,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
17,Process,04ad737a6336.xml,1444,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
18,Process,04ad737a6336.xml,2140,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
19,Process,04ad737a6336.xml,1600,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
20,Process,04ad737a6336.xml,1276,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
21,Process,04ad737a6336.xml,944,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
22,Process,04ad737a6336.xml,2736,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
23,Process,04ad737a6336.xml,2804,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
24,Process,04ad737a6336.xml,2816,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
25,Process,04ad737a6336.xml,1460,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
26,Process,04ad737a6336.xml,516,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
27,Process,04ad737a6336.xml,1676,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
28,Process,04ad737a6336.xml,2280,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
29,Process,04ad737a6336.xml,2456,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
30,Process,04ad737a6336.xml,2540,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
31,Process,04ad737a6336.xml,804,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
32,Process,04ad737a6336.xml,1332,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
33,Process,04ad737a6336.xml,688,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
34,Process,04ad737a6336.xml,2492,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
35,Process,04ad737a6336.xml,1304,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
36,Process,04ad737a6336.xml,3104,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
37,Process,04ad737a6336.xml,3168,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
38,Process,04ad737a6336.xml,3200,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
39,Process,04ad737a6336.xml,3232,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
40,Process,04ad737a6336.xml,3284,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
41,Process,04ad737a6336.xml,3324,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
42,Process,04ad737a6336.xml,3440,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
43,Process,04ad737a6336.xml,3472,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
44,Process,04ad737a6336.xml,3532,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
45,Process,04ad737a6336.xml,3564,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
46,Process,04ad737a6336.xml,3608,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
47,Process,04ad737a6336.xml,3644,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
48,Process,04ad737a6336.xml,3676,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
49,Process,04ad737a6336.xml,3708,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
50,Process,04ad737a6336.xml,3732,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
51,Process,04ad737a6336.xml,3764,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
52,Process,04ad737a6336.xml,3784,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
53,Process,04ad737a6336.xml,3808,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
54,Process,04ad737a6336.xml,3836,powershell.exe,2880,c:\windows\system32\windowspowershell\v1.0\powershell.exe
55,Process,04ad737a6336.xml,3856,powershell.exe,1868,c:\windows\system32\windowspowershell\v1.0\powershell.exe
56,Process,04ad737a6336.xml,3864,powershell.exe,1960,c:\windows\system32\windowspowershell\v1.0\powershell.exe
57,Process,04ad737a6336.xml,3872,powershell.exe,2060,c:\windows\system32\windowspowershell\v1.0\powershell.exe
58,Process,04ad737a6336.xml,3884,powershell.exe,2336,c:\windows\system32\windowspowershell\v1.0\powershell.exe
59,Process,04ad737a6336.xml,3896,powershell.exe,200,c:\windows\system32\windowspowershell\v1.0\powershell.exe
